date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:32:49	18660/18660	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20May%202020%2014:35:42%20GMT	https://preview.colorlib.com/theme/timezone/	C:/My%20Web%20Sites/watchsite/preview.colorlib.com/theme/timezone/index.html	(from )
15:32:49	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
15:32:50	2193/2193	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Aug%202023%2010:02:50%20GMT	https://preview.colorlib.com/theme/timezone/site.webmanifest	C:/My%20Web%20Sites/watchsite/preview.colorlib.com/theme/timezone/site.webmanifest	(from https://preview.colorlib.com/theme/timezone/)
15:32:50	1150/1150	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2247e-5a4bf56d40e80%22	https://preview.colorlib.com/theme/timezone/assets/img/favicon.ico	C:/My%20Web%20Sites/watchsite/preview.colorlib.com/theme/timezone/assets/img/favicon.ico	(from https://preview.colorlib.com/theme/timezone/)
15:32:50	28477/28477	---M-Z	200	added ('OK')	text/css	etag:%226f3d-5c1f9f60210e8-gzip%22	https://preview.colorlib.com/theme/timezone/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/watchsite/preview.colorlib.com/theme/timezone/assets/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/timezone/)
15:32:50	2909/2909	---M-Z	200	added ('OK')	text/css	etag:%22b5d-5c1f9f6022088-gzip%22	https://preview.colorlib.com/theme/timezone/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/watchsite/preview.colorlib.com/theme/timezone/assets/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/timezone/)
15:32:51	1067/1067	---M-Z	200	added ('OK')	text/css	etag:%2242b-5c1f9f60210e8-gzip%22	https://preview.colorlib.com/theme/timezone/assets/css/flaticon.css	C:/My%20Web%20Sites/watchsite/preview.colorlib.com/theme/timezone/assets/css/flaticon.css	(from https://preview.colorlib.com/theme/timezone/)
15:32:51	2506/2506	---M-Z	200	added ('OK')	text/css	etag:%229ca-5c220b78c1945-gzip%22	https://preview.colorlib.com/theme/timezone/assets/css/slicknav.css	C:/My%20Web%20Sites/watchsite/preview.colorlib.com/theme/timezone/assets/css/slicknav.css	(from https://preview.colorlib.com/theme/timezone/)
15:32:51	34725/34725	---M-Z	200	added ('OK')	text/css	etag:%2287a5-5c1f9f60210e8-gzip%22	https://preview.colorlib.com/theme/timezone/assets/css/animate.min.css	C:/My%20Web%20Sites/watchsite/preview.colorlib.com/theme/timezone/assets/css/animate.min.css	(from https://preview.colorlib.com/theme/timezone/)
15:32:52	4213/4213	---M-Z	200	added ('OK')	text/css	etag:%221075-5c1f9f60210e8-gzip%22	https://preview.colorlib.com/theme/timezone/assets/css/magnific-popup.css	C:/My%20Web%20Sites/watchsite/preview.colorlib.com/theme/timezone/assets/css/magnific-popup.css	(from https://preview.colorlib.com/theme/timezone/)
15:32:52	2373/2373	---M-Z	200	added ('OK')	text/css	etag:%22945-5c1f9f60210e8-gzip%22	https://preview.colorlib.com/theme/timezone/assets/css/fontawesome-all.min.css	C:/My%20Web%20Sites/watchsite/preview.colorlib.com/theme/timezone/assets/css/fontawesome-all.min.css	(from https://preview.colorlib.com/theme/timezone/)
15:32:52	1313/1313	---M-Z	200	added ('OK')	text/css	etag:%22521-5c1f9f6023028-gzip%22	https://preview.colorlib.com/theme/timezone/assets/css/themify-icons.css	C:/My%20Web%20Sites/watchsite/preview.colorlib.com/theme/timezone/assets/css/themify-icons.css	(from https://preview.colorlib.com/theme/timezone/)
15:32:53	1727/1727	---M-Z	200	added ('OK')	text/css	etag:%226bf-5c1f9f6022088-gzip%22	https://preview.colorlib.com/theme/timezone/assets/css/slick.css	C:/My%20Web%20Sites/watchsite/preview.colorlib.com/theme/timezone/assets/css/slick.css	(from https://preview.colorlib.com/theme/timezone/)
15:32:53	3881/3881	---M-Z	200	added ('OK')	text/css	etag:%22f29-5c1f9f60210e8-gzip%22	https://preview.colorlib.com/theme/timezone/assets/css/nice-select.css	C:/My%20Web%20Sites/watchsite/preview.colorlib.com/theme/timezone/assets/css/nice-select.css	(from https://preview.colorlib.com/theme/timezone/)
15:32:53	81058/81058	---M-Z	200	added ('OK')	text/css	etag:%2213ca2-5c1f9f6022088-gzip%22	https://preview.colorlib.com/theme/timezone/assets/css/style.css	C:/My%20Web%20Sites/watchsite/preview.colorlib.com/theme/timezone/assets/css/style.css	(from https://preview.colorlib.com/theme/timezone/)
15:32:53	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Sat,%2026%20Aug%202023%2010:02:54%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	C:/My%20Web%20Sites/watchsite/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/timezone/)
15:32:54	1029/1029	---M--	200	added ('OK')	image/png	etag:%22405-5a4bf644c8b00%22	https://preview.colorlib.com/theme/timezone/assets/img/logo/logo.png	C:/My%20Web%20Sites/watchsite/preview.colorlib.com/theme/timezone/assets/img/logo/logo.png	(from https://preview.colorlib.com/theme/timezone/)
15:32:54	18660/18660	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20May%202020%2014:35:42%20GMT	https://preview.colorlib.com/theme/timezone/index.html	C:/My%20Web%20Sites/watchsite/preview.colorlib.com/theme/timezone/index-2.html	(from https://preview.colorlib.com/theme/timezone/)
15:32:54	19470/19470	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20May%202020%2014:35:43%20GMT	https://preview.colorlib.com/theme/timezone/shop.html	C:/My%20Web%20Sites/watchsite/preview.colorlib.com/theme/timezone/shop.html	(from https://preview.colorlib.com/theme/timezone/)
15:32:55	11336/11336	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20May%202020%2014:35:37%20GMT	https://preview.colorlib.com/theme/timezone/about.html	C:/My%20Web%20Sites/watchsite/preview.colorlib.com/theme/timezone/about.html	(from https://preview.colorlib.com/theme/timezone/)
15:32:55	11063/11063	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20May%202020%2014:35:43%20GMT	https://preview.colorlib.com/theme/timezone/product_details.html	C:/My%20Web%20Sites/watchsite/preview.colorlib.com/theme/timezone/product_details.html	(from https://preview.colorlib.com/theme/timezone/)
15:32:55	16492/16492	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20May%202020%2014:35:38%20GMT	https://preview.colorlib.com/theme/timezone/blog.html	C:/My%20Web%20Sites/watchsite/preview.colorlib.com/theme/timezone/blog.html	(from https://preview.colorlib.com/theme/timezone/)
15:32:56	19812/19812	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20May%202020%2014:35:38%20GMT	https://preview.colorlib.com/theme/timezone/blog-details.html	C:/My%20Web%20Sites/watchsite/preview.colorlib.com/theme/timezone/blog-details.html	(from https://preview.colorlib.com/theme/timezone/)
